"Survived","Pclass","Sex","SibSp","Parch","Fare","Embarked"
"'0'","'3'","male","'1'","'0'",15.162739203342,"C"
"'1'","'1'","male","'1'","'2'",24.2770093459185,"S"
"'0'","'1'","male","'0'","'0'",18.7699012111446,"S"
"'0'","'3'","female","'1'","'1'",15.6716539223363,"S"
"'1'","'3'","female","'1'","'0'",14.3766656428419,"C"
"'0'","'3'","male","'0'","'0'",13.9506001939545,"S"
"'1'","'2'","female","'0'","'0'",12.2920727487367,"C"
"'1'","'3'","female","'0'","'0'",14.1418960619482,"C"
"'1'","'1'","female","'0'","'0'",23.6275566087424,"C"
"'0'","'2'","male","'0'","'0'",12.9362338970396,"S"
"'0'","'1'","male","'1'","'0'",18.8180122184656,"S"
"'0'","'3'","male","'0'","'0'",13.5601870835869,"S"
"'0'","'3'","male","'0'","'0'",15.3331673348953,"S"
"'0'","'3'","male","'0'","'0'",13.1842490566409,"S"
"'0'","'3'","male","'0'","'0'",14.4397174253307,"C"
"'1'","'3'","female","'0'","'0'",14.4335208386075,"C"
"'1'","'1'","male","'0'","'0'",24.103026157266,"S"
"'0'","'2'","male","'1'","'0'",16.0565696443125,"S"
"'0'","'3'","male","'0'","'0'",13.6451084368956,"S"
"'0'","'3'","male","'0'","'0'",15.816432545348,"S"
"'1'","'3'","male","'0'","'0'",14.8288693824993,"S"
"'1'","'2'","female","'1'","'0'",18.6404070369129,"S"
"'1'","'3'","female","'0'","'0'",14.1321877477533,"C"
"'0'","'3'","male","'0'","'0'",12.4050494124444,"S"
"'0'","'3'","male","'0'","'0'",12.4950811069714,"S"
"'0'","'3'","female","'3'","'1'",15.3723729381456,"C"
"'0'","'3'","male","'0'","'0'",13.1296573278517,"S"
"'0'","'3'","male","'0'","'0'",13.2732333835085,"S"
"'0'","'3'","female","'4'","'0'",16.592775424775,"S"
"'0'","'3'","male","'0'","'0'",12.4918627272179,"C"
"'0'","'1'","male","'0'","'0'",19.4660947205172,"S"
"'0'","'3'","male","'0'","'0'",13.1975445002545,"S"
"'0'","'2'","male","'0'","'0'",13.7453387433802,"S"
"'1'","'3'","male","'0'","'0'",14.9498118904977,"C"
"'0'","'3'","male","'0'","'0'",15.210725135417,"S"
"'1'","'1'","male","'1'","'0'",24.1324193053233,"S"
"'0'","'3'","male","'1'","'1'",16.2871374410787,"S"
"'0'","'3'","male","'2'","'0'",15.8600166847105,"S"
"'0'","'3'","male","'0'","'0'",15.2608905068798,"S"
"'0'","'3'","female","'0'","'0'",12.524883179098,"S"
"'0'","'3'","male","'0'","'0'",11.4756288137105,"S"
"'1'","'3'","female","'0'","'0'",12.6109676152881,"S"
"'0'","'3'","male","'0'","'0'",15.3056847820062,"S"
"'0'","'3'","male","'0'","'0'",11.3985217106463,"S"
"'0'","'3'","female","'0'","'2'",17.6488437960365,"S"
"'1'","'2'","female","'0'","'0'",14.1698495908881,"C"
"'1'","'3'","male","'4'","'1'",14.6616565993408,"S"
"'1'","'3'","male","'1'","'1'",15.0712512408887,"C"
