"AF3","F7","F3","FC5","T7","P7","O1","O2","P8","T8","FC6","F4","F8","AF4","eyeDetection"
4312.31,4013.90267008229,4287.07626344622,5315.69800268898,4392.45042997083,3005.99840759365,9521.78469548465,4640.16072397901,6586.87039714482,4288.20845701806,4254.02979142907,4315.51765952238,4753.08354514174,3920.74967598784,"'0'"
4281.54,3995.20729185174,4335.46090098238,11413.7471914792,4409.71071158646,5665.04478266645,8372.66508940903,4720.15966314101,6052.66551249946,4309.46195307389,4270.5833160553,4322.02047101664,4176.88255292976,9558.41357083805,"'0'"
4287.69,4000.6259401571,4234.31529308893,17391.5450599214,4382.29784066198,8149.01170190914,3583.43253459852,4699.72693857651,5452.07758826098,4323.45025220548,4259.80391221371,4305.00758688885,2747.32912697058,10376.2315878406,"'1'"
4289.23,4002.06566459222,4275.63156467968,7410.22188151207,4384.73953381259,7635.47486351347,4684.02239387318,4721.63132512012,3844.26583541632,4232.83548433072,4216.49645084058,4301.82762774443,2522.24292915871,11585.5771666954,"'0'"
4305.64,4011.7740163973,4429.2393811153,3306.9576016027,4337.95380248516,4271.27592699292,5240.44946235133,4649.98355022471,8024.91944187824,4307.80598422467,4286.69995092834,4346.66283967722,3544.88342514796,4891.9090875007,"'0'"
4283.08,3998.01292384297,4308.95544334557,6247.75484801623,4392.26377391493,5487.86035593983,13248.4292522497,4719.05027906755,4602.99141656606,4315.35403300698,4261.07436068038,4322.5852564883,4715.01556855739,2513.64412717842,"'0'"
4274.36,3990.84411346345,4288.56780341208,8658.99742048484,4385.7946328014,3547.44626542192,8932.08362016086,4639.02819791004,1759.55674365481,4205.30497421873,4179.74641915824,4278.10150178405,3938.73091253672,7673.0334819113,"'0'"
4304.62,4008.58074614722,4344.95448921092,3152.33256698611,4339.07375615179,6621.36671476914,4365.16010185952,4710.71074960807,7211.10618081341,4326.15719033457,4273.98340698194,4340.58786985009,6133.47666973802,2414.99439856652,"'0'"
4281.54,3992.35055916493,4228.18518741542,4721.10378912068,4379.01464235975,8091.37825758549,7963.43310352228,4723.32745795392,4249.68771055922,4277.10320557084,4240.48434440397,4302.92155876249,4640.7092523542,6422.11672190424,"'1'"
4327.69,4026.19415111311,4343.10129453434,4723.45194634075,4423.5893252102,9680.40954533308,8921.85810304961,4723.22974884033,8513.3299591215,4320.78262734211,4292.07554264181,4346.23561374377,4023.79075401264,3245.36683381068,"'0'"
4259.49,3991.21398273985,4222.91272109873,8507.14297926482,4381.11818817318,7157.94781479341,7906.36635336874,4717.14108797693,6108.2833506355,4307.00124637222,4253.734980215,4303.59973390291,6172.5509965852,10315.0132691811,"'0'"
4281.03,3993.68946392883,4264.08547439309,5100.16817988414,4381.04946576718,4169.94417124821,3572.98349568335,4610.64926457558,6784.1214168246,4283.29168264267,4252.62592472899,4291.42951947121,4664.64768923167,1788.69445289529,"'1'"
4305.13,4009.19749151315,4244.63165130964,5826.97150979609,4387.03967555535,3689.12882953277,2243.03870882122,4605.86295636245,2882.91721483523,4214.00660714024,4198.7905144118,4276.22090114684,4408.68467688041,2318.08049133748,"'1'"
